endereco,preco,quartos,banheiros,area
"59012-310, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",800000,4.0,5.0,270.0
"59015-120, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1290000,4.0,5.0,233.0
"59067-480, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",410000,3.0,3.0,94.0
"59015-110, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1100000,4.0,5.0,140.0
"59022-460, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",329000,4.0,3.0,96.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",198000,2.0,1.0,50.0
"59065-600, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",265000,3.0,3.0,128.0
"59066-370, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",89000,2.0,1.0,55.0
"59015-290, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1200000,4.0,6.0,270.0
"59133-365, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",245900,3.0,2.0,64.0
"59022-200, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",250000,2.0,2.0,55.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",549999,3.0,4.0,93.0
"59066-800, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",180000,2.0,2.0,54.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",319999,3.0,,154.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",261990,2.0,1.0,47.0
"59022-180, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",550000,3.0,3.0,140.0
"59020-095, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",700000,4.0,3.0,160.0
"59133-090, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",164490,2.0,1.0,41.0
"59062-360, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",665000,3.0,3.0,113.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",115000,2.0,1.0,54.0
"59020-095, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",700010,4.0,3.0,160.0
"59015-060, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1303887,3.0,4.0,181.0
"59020-130, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",950000,4.0,4.0,132.0
"59020-300, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",380000,2.0,2.0,56.0
"59022-200, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",419005,2.0,2.0,68.0
"59020-130, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1500000,4.0,5.0,260.0
"59020-100, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",160000,2.0,2.0,92.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",654999,3.0,3.0,88.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",990000,4.0,5.0,217.0
"59133-090, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",164000,2.0,1.0,41.0
"59012-340, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",210000,2.0,2.0,50.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",285000,2.0,2.0,55.0
"59065-780, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",300000,3.0,4.0,160.0
"59063-550, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",1550000,4.0,6.0,170.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",668443,3.0,2.0,88.0
"59014-500, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",990000,4.0,6.0,237.0
"59133-365, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",189900,2.0,1.0,45.0
"59015-450, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",257300,1.0,1.0,44.0
"59020-200, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1100000,3.0,5.0,137.0
"59020-085, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",240000,3.0,2.0,85.0
"59086-005, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",435000,3.0,3.0,92.0
"59073-070, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",125000,2.0,2.0,65.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",744376,3.0,1.0,88.0
"59020-200, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",950000,3.0,5.0,137.0
"59022-040, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",260000,2.0,2.0,54.0
"59020-035, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1247940,4.0,5.0,190.0
"59065-200, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",170000,2.0,2.0,97.0
"59022-180, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",550000,3.0,3.0,140.0
"Natal, Estado do Rio Grande do Norte",150000,3.0,2.0,75.0
"59020-120, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",299999,2.0,3.0,89.0
"59065-780, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",350000,3.0,4.0,150.0
"59020-658, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",430000,3.0,3.0,165.0
